ID,Section,Status,Pass,Subtopic,Authors,Year,Article Title,Journal,Volume / Issue / Pages,Study Type,Population / Scope,DOI,DOI URL,Full Text URL,PDF Available,Hosting Status,Tags,Suggested Local Filename
19-009,19. ADHD & Dissociation,Candidate for Pass 1,PASS 1,Dissociative disorder and apparent ADHD after child abuse,Taro Endo; Toshiro Sugiyama; Toshiyuki Someya,2006,Attention-deficit/hyperactivity disorder and dissociative disorder among abused children,Psychiatry and Clinical Neurosciences,"60(4), 434-438",Clinical observational study,39 abused child inpatients (mean age about 10.7 years) evaluated for psychiatric diagnoses and timing of ADHD symptoms relative to abuse; dissociative disorder and ADHD diagnoses were examined directly.,10.1111/j.1440-1819.2006.01528.x,https://doi.org/10.1111/j.1440-1819.2006.01528.x,https://pubmed.ncbi.nlm.nih.gov/16884444/,No public PDF verified,LINK ONLY,ADHD; dissociative disorder; child abuse; children; apparent ADHD; trauma; diagnosis,19-009_Endo_2006_ADHD_Dissociative_Disorder_Abused_Children.pdf
19-010,19. ADHD & Dissociation,Candidate for Pass 1,PASS 1,Child dissociation with ADHD comparison group,Carlos D. Reyes-Pérez; Alfonso Martínez-Taboas; Damaris Ledesma-Amador,2005,Dissociative experiences in children with abuse histories: a replication in Puerto Rico,Journal of Trauma & Dissociation,"6(1), 99-112",Comparative clinical validation study,"Primary caregivers of 31 children with documented abuse histories, 30 children with ADHD, and 33 children with no abuse or psychiatric record completed the Child Dissociative Checklist.",10.1300/J229v06n01_06,https://doi.org/10.1300/J229v06n01_06,https://pubmed.ncbi.nlm.nih.gov/16150687/,No public PDF verified,LINK ONLY,ADHD; dissociation; child abuse; children; Child Dissociative Checklist; comparison group; trauma,19-010_Reyes_Perez_2005_Child_Dissociation_ADHD_Comparison.pdf
19-011,19. ADHD & Dissociation,Candidate for Pass 1,PASS 1,Adolescent dissociation screening and ADHD diagnostic group,J. Soukup; H. Papežová; A. A. Kuběna; V. Mikolajová,2010,Dissociation in non-clinical and clinical sample of Czech adolescents. Reliability and validity of the Czech version of the Adolescent Dissociative Experiences Scale,European Psychiatry,"25(7), 390-395",Psychometric validation study with clinical diagnostic comparisons,653 non-clinical adolescents and 162 adolescent psychiatric inpatients; A-DES and SDQ-20 assessed alongside diagnoses and trauma-related variables. The ADHD diagnostic subgroup showed elevated A-DES scores.,10.1016/j.eurpsy.2010.03.011,https://doi.org/10.1016/j.eurpsy.2010.03.011,https://pubmed.ncbi.nlm.nih.gov/20646916/,No public PDF verified,LINK ONLY,ADHD; adolescent dissociation; A-DES; somatoform dissociation; psychometrics; psychiatric inpatients; trauma,19-011_Soukup_2010_Adolescent_Dissociation_ADHD_ADES.pdf
19-012,19. ADHD & Dissociation,Candidate for Pass 1,PASS 1,Prospective dissociation-to-attention pathway after sexual abuse,Julie B. Kaplow; Erin Hall; Karestan C. Koenen; Kenneth A. Dodge; Lisa Amaya-Jackson,2008,Dissociation predicts later attention problems in sexually abused children,Child Abuse & Neglect,"32(2), 261-275",Prospective longitudinal pathway study,"156 sexually abused children age 8-13 assessed at baseline; 56 reassessed 8-36 months later. Dissociation after disclosure was evaluated prospectively as a predictor of later attention problems. This study concerns attention problems, not diagnosed ADHD.",10.1016/j.chiabu.2007.07.005,https://doi.org/10.1016/j.chiabu.2007.07.005,https://pmc.ncbi.nlm.nih.gov/articles/PMC2323915/,Yes,LINK ONLY,dissociation; attention problems; child sexual abuse; trauma; prospective; children; ADHD-relevant differential pathway,19-012_Kaplow_2008_Dissociation_Predicts_Attention_Problems.pdf
19-013,19. ADHD & Dissociation,Candidate for Pass 1,PASS 1,Maladaptive daydreaming / dissociative absorption in diagnosed ADHD,Nitzan Theodor-Katz; Eli Somer; Rinatya M. Hesseg; Nirit Soffer-Dudek,2022,Could immersive daydreaming underlie a deficit in attention? The prevalence and characteristics of maladaptive daydreaming in individuals with attention-deficit/hyperactivity disorder,Journal of Clinical Psychology,"78(11), 2309-2328",Clinical ADHD sample with structured maladaptive-daydreaming assessment,"83 adults diagnosed with ADHD assessed for ADHD symptoms, maladaptive daydreaming, depression, loneliness, and self-esteem; participants exceeding the maladaptive-daydreaming screening cutoff were invited to a structured diagnostic interview.",10.1002/jclp.23355,https://doi.org/10.1002/jclp.23355,https://pmc.ncbi.nlm.nih.gov/articles/PMC9790222/,Yes,LINK ONLY,ADHD; maladaptive daydreaming; dissociative absorption; attention; immersive daydreaming; adults; CC BY-NC 4.0,19-013_Theodor_Katz_2022_Immersive_Daydreaming_ADHD.pdf
19-014,19. ADHD & Dissociation,Candidate for Pass 1,PASS 1,Maladaptive daydreaming versus ADHD,Nitzan Theodor-Katz; Nirit Soffer-Dudek,2025,Differential diagnosis between maladaptive daydreaming and ADHD: Immersive daydreaming is not simply inattention,International Journal of Clinical and Health Psychology,"25(3), 100616",Clinical interview-based four-group diagnostic study,"156 adults in ADHD-only (n=38), maladaptive-daydreaming-only (n=49), both (n=34), and control (n=35) groups; clinical interviews and self-report measures used to distinguish immersive daydreaming from ADHD-related inattention.",10.1016/j.ijchp.2025.100616,https://doi.org/10.1016/j.ijchp.2025.100616,https://pmc.ncbi.nlm.nih.gov/articles/PMC12504816/,Yes,REHOST PERMITTED,ADHD; maladaptive daydreaming; dissociative absorption; inattention; differential diagnosis; mind wandering; CC BY 4.0,19-014_Theodor_Katz_2025_Maladaptive_Daydreaming_ADHD_Differential.pdf
19-015,19. ADHD & Dissociation,Candidate for Pass 1,PASS 1,Maladaptive daydreaming in neurodivergent adults,Anna Pyszkowska; Ari Nowacki; Julia Celban,2025,"The Daydream Spectrum: The Role of Emotional Dysregulation, Internalized Stigma and Self-Esteem in Maladaptive Daydreaming Among Adults With ADHD, ASD, and Double Diagnosis",Journal of Attention Disorders,"29(1), 53-69",Cross-sectional comparative self-report study,"293 neurodivergent adults: 139 in an ADHD group, 74 in an autism-spectrum group, and 80 in an AuDHD group; maladaptive daydreaming, emotional dysregulation, escapism, self-esteem, stigma, and neurodivergent symptoms assessed by self-report.",10.1177/10870547241290901,https://doi.org/10.1177/10870547241290901,https://pubmed.ncbi.nlm.nih.gov/39431528/,No public PDF verified,LINK ONLY,ADHD; maladaptive daydreaming; dissociative absorption; emotional dysregulation; escapism; ASD; AuDHD; adults,19-015_Pyszkowska_2025_Daydream_Spectrum_ADHD_AuDHD.pdf
19-001,19. ADHD & Dissociation,Final,PASS 2,"Childhood trauma, dissociation, and ADHD symptom persistence",Ali Kandeğer; Fatih Ekici; Hasan Ali Güler; Ömer Bayırlı; M. Seda Özaltın; Yavuz Selvi,2025,Childhood Trauma and Dissociation Pathway as a Mediator for the Persistence of ADHD Symptoms from Childhood to Adulthood in Nonclinical and Clinical Samples,Journal of Trauma & Dissociation,"26(4), 548-562",Two-sample cross-sectional mediation study,"Study 1: 1,148 undergraduates assessed with ASRS, WURS, CTQ, and DES. Study 2: 202 adults with clinically diagnosed ADHD followed in an adult neurodevelopmental disorders clinic; diagnoses used the Structured Clinical Interview for DSM-5 Clinician Version.",10.1080/15299732.2025.2503709,https://doi.org/10.1080/15299732.2025.2503709,https://www.tandfonline.com/doi/full/10.1080/15299732.2025.2503709,No public PDF verified,LINK ONLY,ADHD; dissociation; childhood trauma; persistence; adulthood; DES; mediation; clinical ADHD,19-001_Kandeger_2025_Childhood_Trauma_Dissociation_ADHD_Persistence.pdf
19-002,19. ADHD & Dissociation,Final,PASS 2,Dissociation dimensions in ADHD symptoms versus trauma-related symptoms,Rosario Esposito; Eduardo Maria Schettino; Veronica Buonincontri; Carmine Vitale; Gabriella Santangelo; Gianpaolo Maggi,2025,Exploring Differential Patterns of Dissociation: Severity and Dimensions Across Diverse Trauma Experiences and/or Attention-Deficit/Hyperactivity Disorder Symptoms,Behavioral Sciences,"15(7), 850",Cross-sectional comparative survey study,"400 adults from the general population classified by symptom/experience profiles involving ADHD symptoms, PTSD manifestations, and adverse childhood experiences; dissociation measured with DES-II. ADHD status was symptom-based rather than a confirmed clinical diagnosis.",10.3390/bs15070850,https://doi.org/10.3390/bs15070850,https://www.mdpi.com/2076-328X/15/7/850,Yes,REHOST PERMITTED,ADHD symptoms; dissociation; amnesia; absorption; depersonalization; PTSD; ACEs; DES-II; CC BY 4.0,19-002_Esposito_2025_Differential_Patterns_Dissociation_ADHD_Trauma.pdf
19-003,19. ADHD & Dissociation,Final,PASS 2,Dissociation-attention symptom heterogeneity,Ali Kandeğer; Murat Boysan; Gizem Karaoğlan; Rukiye Tekdemir; Barış Şen; Özge Tan; Bilal Sağlıyan; Yavuz Selvi,2023,Heterogeneity of associations between dissociation and attention deficit symptoms,Current Psychology,"42(33), 28881-28894",Cross-sectional latent class / mixture analysis,"1,037 online participants assessed with ASRS, WURS, CTQ, DES, and SDQ. The study examined latent classes of dissociation and attention-deficit symptoms; it did not establish ADHD diagnoses.",10.1007/s12144-022-03836-y,https://doi.org/10.1007/s12144-022-03836-y,https://pmc.ncbi.nlm.nih.gov/articles/PMC9647769/,Yes,LINK ONLY,ADHD symptoms; dissociation; psychoform dissociation; somatoform dissociation; childhood trauma; latent class; attention,19-003_Kandeger_2023_Heterogeneity_Dissociation_Attention_Deficit.pdf
19-007,19. ADHD & Dissociation,Final,PASS 2,Psychoform and somatoform dissociation in clinically diagnosed ADHD,Ali Kandeğer; Barış Şen; Rukiye Tekdemir; Gizem Gülpamuk; Yavuz Selvi,2022,Dissociative Experiences Associated With Internet Gaming Disorder After Controlling For Childhood Trauma And ADHD Diagnosis,Journal of Trauma & Dissociation,"23(1), 68-78",Clinical case-control study,"40 young adults diagnosed with ADHD in a university hospital psychiatric outpatient clinic and 40 age- and gender-matched healthy controls; psychoform and somatoform dissociation, childhood trauma, and internet gaming were assessed.",10.1080/15299732.2021.1984366,https://doi.org/10.1080/15299732.2021.1984366,https://pubmed.ncbi.nlm.nih.gov/34569448/,No public PDF verified,LINK ONLY,ADHD; dissociation; psychoform dissociation; somatoform dissociation; childhood trauma; internet gaming disorder; case-control,19-007_Kandeger_2022_Dissociation_Clinical_ADHD_IGD.pdf
19-008,19. ADHD & Dissociation,Final,PASS 2,Psychoform and somatoform dissociation in young adults at risk for ADHD,Ali Kandeğer; Rukiye Tekdemir,2021,Relationship between Aggression and Psychoform and Somatoform Dissociation in Young Adults at Risk for Attention Deficit Hyperactivity Disorder,Psychiatry and Clinical Psychopharmacology,"31(1), 19-24",Cross-sectional risk-group study,"137 university students divided into low- and high-risk ADHD groups using ASRS scores; childhood trauma, psychoform dissociation, somatoform dissociation, and aggression were assessed. ADHD status was screening-based, not a clinical diagnosis.",10.5152/pcp.2021.20133,https://doi.org/10.5152/pcp.2021.20133,https://pmc.ncbi.nlm.nih.gov/articles/PMC11605315/,Yes,LINK ONLY,ADHD risk; psychoform dissociation; somatoform dissociation; aggression; childhood trauma; ASRS; CC BY-NC 4.0,19-008_Kandeger_2021_Psychoform_Somatoform_Dissociation_ADHD_Risk.pdf
19-009,19. ADHD & Dissociation,Final,PASS 2,Dissociative disorder and apparent ADHD after child abuse,Taro Endo; Toshiro Sugiyama; Toshiyuki Someya,2006,Attention-deficit/hyperactivity disorder and dissociative disorder among abused children,Psychiatry and Clinical Neurosciences,"60(4), 434-438",Clinical observational study,"39 abused child inpatients, mean age approximately 10.7 years, evaluated for psychiatric diagnoses and timing of ADHD symptoms relative to abuse; dissociative disorder and ADHD diagnoses were examined directly.",10.1111/j.1440-1819.2006.01528.x,https://doi.org/10.1111/j.1440-1819.2006.01528.x,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1440-1819.2006.01528.x,No public PDF verified,LINK ONLY,ADHD; dissociative disorder; child abuse; children; apparent ADHD; trauma; diagnosis,19-009_Endo_2006_ADHD_Dissociative_Disorder_Abused_Children.pdf
19-010,19. ADHD & Dissociation,Final,PASS 2,Child dissociation with ADHD comparison group,Carlos D. Reyes-Pérez; Alfonso Martínez-Taboas; Damaris Ledesma-Amador,2005,Dissociative experiences in children with abuse histories: a replication in Puerto Rico,Journal of Trauma & Dissociation,"6(1), 99-112",Comparative clinical validation study,"Primary caregivers of 31 children with documented abuse histories, 30 children with ADHD, and 33 children with no abuse or psychiatric record completed the Child Dissociative Checklist.",10.1300/J229v06n01_06,https://doi.org/10.1300/J229v06n01_06,https://pubmed.ncbi.nlm.nih.gov/16150687/,No public PDF verified,LINK ONLY,ADHD; dissociation; child abuse; children; Child Dissociative Checklist; comparison group; trauma,19-010_Reyes_Perez_2005_Child_Dissociation_ADHD_Comparison.pdf
19-012,19. ADHD & Dissociation,Final,PASS 2,Prospective dissociation-to-attention pathway after sexual abuse,Julie B. Kaplow; Erin Hall; Karestan C. Koenen; Kenneth A. Dodge; Lisa Amaya-Jackson,2008,Dissociation predicts later attention problems in sexually abused children,Child Abuse & Neglect,"32(2), 261-275",Prospective longitudinal pathway study,156 sexually abused children age 8-13 assessed at baseline; 56 were reassessed 8-36 months later. Dissociation after disclosure was evaluated prospectively as a predictor of later attention problems. The study concerns attention problems rather than diagnosed ADHD.,10.1016/j.chiabu.2007.07.005,https://doi.org/10.1016/j.chiabu.2007.07.005,https://pmc.ncbi.nlm.nih.gov/articles/PMC2323915/,Yes,LINK ONLY,dissociation; attention problems; child sexual abuse; trauma; prospective; children; ADHD-relevant differential pathway,19-012_Kaplow_2008_Dissociation_Predicts_Attention_Problems.pdf
19-013,19. ADHD & Dissociation,Final,PASS 2,Maladaptive daydreaming / dissociative absorption in diagnosed ADHD,Nitzan Theodor-Katz; Eli Somer; Rinatya M. Hesseg; Nirit Soffer-Dudek,2022,Could immersive daydreaming underlie a deficit in attention? The prevalence and characteristics of maladaptive daydreaming in individuals with attention-deficit/hyperactivity disorder,Journal of Clinical Psychology,"78(11), 2309-2328",Clinical ADHD sample with structured maladaptive-daydreaming assessment,"83 adults diagnosed with ADHD assessed for ADHD symptoms, maladaptive daydreaming, depression, loneliness, and self-esteem; participants above the maladaptive-daydreaming screening cutoff were invited to a structured diagnostic interview.",10.1002/jclp.23355,https://doi.org/10.1002/jclp.23355,https://pmc.ncbi.nlm.nih.gov/articles/PMC9790222/,Yes,LINK ONLY,ADHD; maladaptive daydreaming; dissociative absorption; attention; immersive daydreaming; adults; CC BY-NC 4.0,19-013_Theodor_Katz_2022_Immersive_Daydreaming_ADHD.pdf
19-014,19. ADHD & Dissociation,Final,PASS 2,Maladaptive daydreaming versus ADHD,Nitzan Theodor-Katz; Nirit Soffer-Dudek,2025,Differential diagnosis between maladaptive daydreaming and ADHD: Immersive daydreaming is not simply inattention,International Journal of Clinical and Health Psychology,"25(3), 100616",Clinical interview-based four-group diagnostic study,"156 adults in ADHD-only (n=38), maladaptive-daydreaming-only (n=49), both (n=34), and control (n=35) groups; clinical interviews and self-report measures were used to distinguish immersive daydreaming from ADHD-related inattention.",10.1016/j.ijchp.2025.100616,https://doi.org/10.1016/j.ijchp.2025.100616,https://pmc.ncbi.nlm.nih.gov/articles/PMC12504816/,Yes,REHOST PERMITTED,ADHD; maladaptive daydreaming; dissociative absorption; inattention; differential diagnosis; mind wandering; CC BY 4.0,19-014_Theodor_Katz_2025_Maladaptive_Daydreaming_ADHD_Differential.pdf
19-015,19. ADHD & Dissociation,Final,PASS 2,Maladaptive daydreaming in neurodivergent adults,Anna Pyszkowska; Ari Nowacki; Julia Celban,2025,"The Daydream Spectrum: The Role of Emotional Dysregulation, Internalized Stigma and Self-Esteem in Maladaptive Daydreaming Among Adults With ADHD, ASD, and Double Diagnosis",Journal of Attention Disorders,"29(1), 53-69",Cross-sectional comparative self-report study,"293 neurodivergent adults: 139 with ADHD, 74 on the autism spectrum, and 80 with both diagnoses; maladaptive daydreaming, emotional dysregulation, escapism, self-esteem, stigma, and neurodivergent symptoms were assessed.",10.1177/10870547241290901,https://doi.org/10.1177/10870547241290901,https://pubmed.ncbi.nlm.nih.gov/39431528/,No public PDF verified,LINK ONLY,ADHD; maladaptive daydreaming; dissociative absorption; emotional dysregulation; escapism; ASD; AuDHD; adults,19-015_Pyszkowska_2025_Daydream_Spectrum_ADHD_AuDHD.pdf
20-001,20. ADHD & Intelligence / IQ Corollaries,Candidate for Pass 1,PASS 1,General intellectual ability / neuropsychological performance,Thomas W. Frazier; Heath A. Demaree; Eric A. Youngstrom,2004,Meta-analysis of intellectual and neuropsychological test performance in attention-deficit/hyperactivity disorder,Neuropsychology,"18(3), 543-555",Meta-analysis,"Meta-analysis of intellectual and neuropsychological test performance in ADHD versus healthy comparison groups; examined Full Scale IQ alongside achievement, continuous-performance, and other cognitive measures.",10.1037/0894-4105.18.3.543,https://doi.org/10.1037/0894-4105.18.3.543,https://pubmed.ncbi.nlm.nih.gov/15291732/,No public PDF verified,LINK ONLY,ADHD; intelligence; IQ; FSIQ; neuropsychology; meta-analysis; cognitive ability,20-001_Frazier_2004_ADHD_Intellectual_Neuropsychological_Meta_Analysis.pdf
20-002,20. ADHD & Intelligence / IQ Corollaries,Candidate for Pass 1,PASS 1,Adult Full Scale IQ,David J. Bridgett; Michael E. Walker,2006,Intellectual functioning in adults with ADHD: a meta-analytic examination of full scale IQ differences between adults with and without ADHD,Psychological Assessment,"18(1), 1-14",Meta-analysis,"33 adult ADHD studies met inclusion criteria; primary analyses used 18 studies representing 1,031 adults with ADHD and 928 non-ADHD controls with WAIS Full Scale IQ scores or estimates.",10.1037/1040-3590.18.1.1,https://doi.org/10.1037/1040-3590.18.1.1,https://pubmed.ncbi.nlm.nih.gov/16594807/,No public PDF verified,LINK ONLY,ADHD; adults; intelligence; FSIQ; WAIS; meta-analysis; moderators,20-002_Bridgett_2006_Adult_ADHD_FSIQ_Meta_Analysis.pdf
20-003,20. ADHD & Intelligence / IQ Corollaries,Candidate for Pass 1,PASS 1,General intelligence versus executive function,Sabrina E. B. Schuck; Francis M. Crinella,2005,Why children with ADHD do not have low IQs,Journal of Learning Disabilities,"38(3), 262-280",Review plus empirical cognitive analysis,"Review of general intelligence (g), executive function, and ADHD plus empirical analysis of a broad cognitive battery in 123 boys with ADHD, examining correlations among executive-function measures, IQ tests, and a derived g factor.",10.1177/00222194050380030701,https://doi.org/10.1177/00222194050380030701,https://pubmed.ncbi.nlm.nih.gov/15940963/,No public PDF verified,LINK ONLY,ADHD; IQ; general intelligence; g factor; executive function; children; cognition,20-003_Schuck_2005_ADHD_IQ_g_Executive_Function.pdf
20-004,20. ADHD & Intelligence / IQ Corollaries,Candidate for Pass 1,PASS 1,Influence of inattention on IQ assessment,Jens Richardt M. Jepsen; Birgitte Fagerlund; Erik Lykke Mortensen,2009,Do attention deficits influence IQ assessment in children and adolescents with ADHD?,Journal of Attention Disorders,"12(6), 551-562",Focused review,"Review of research on the relationship between attention deficits and measured IQ in children and adolescents with ADHD, including evidence on short-term stimulant effects on IQ-test performance.",10.1177/1087054708322996,https://doi.org/10.1177/1087054708322996,https://pubmed.ncbi.nlm.nih.gov/18815437/,No public PDF verified,LINK ONLY,ADHD; intelligence testing; IQ validity; inattention; children; adolescents; stimulant treatment,20-004_Jepsen_2009_Attention_Deficits_IQ_Assessment.pdf
20-005,20. ADHD & Intelligence / IQ Corollaries,Candidate for Pass 1,PASS 1,Observed versus expected IQ / familial intelligence,Joseph Biederman; Ronna Fried; Carter Petty; Laura Mahoney; Stephen V. Faraone,2012,An examination of the impact of attention-deficit hyperactivity disorder on IQ: a large controlled family-based analysis,Canadian Journal of Psychiatry,"57(10), 608-616",Controlled family-based analysis,276 children with ADHD and 239 controls. Observed child IQ was compared with expected IQ calculated from biological-parent estimated IQ to evaluate whether ADHD was associated with a substantial decrement from familial intellectual expectation.,10.1177/070674371205701005,https://doi.org/10.1177/070674371205701005,https://pubmed.ncbi.nlm.nih.gov/23072952/,No public PDF verified,LINK ONLY,ADHD; IQ; parental IQ; familial intelligence; children; cognitive discrepancy,20-005_Biederman_2012_ADHD_Observed_Expected_IQ.pdf
20-006,20. ADHD & Intelligence / IQ Corollaries,Candidate for Pass 1,PASS 1,IQ exclusion criteria / research methodology,Genevieve B. Mackenzie; Elif Wonders,2016,Rethinking Intelligence Quotient Exclusion Criteria Practices in the Study of Attention Deficit Hyperactivity Disorder,Frontiers in Psychology,"7, 794",Methodological review and position paper,"Review of the consequences of excluding participants with lower-than-average IQ, particularly IQ 70-85, from ADHD research; addresses external validity, sample representativeness, and interpretation of ADHD findings.",10.3389/fpsyg.2016.00794,https://doi.org/10.3389/fpsyg.2016.00794,https://pmc.ncbi.nlm.nih.gov/articles/PMC4886698/,Yes,REHOST PERMITTED,ADHD; IQ; exclusion criteria; research methodology; intellectual functioning; external validity; CC BY,20-006_Mackenzie_2016_ADHD_IQ_Exclusion_Criteria.pdf
20-007,20. ADHD & Intelligence / IQ Corollaries,Candidate for Pass 1,PASS 1,High-IQ / gifted ADHD validity,Kevin M. Antshel; Stephen V. Faraone; Kimberly Stallone; Andrea Nave; Felice A. Kaufmann; Alysa Doyle; Ronna Fried; Larry Seidman; Joseph Biederman,2007,Is attention deficit hyperactivity disorder a valid diagnosis in the presence of high IQ? Results from the MGH Longitudinal Family Studies of ADHD,Journal of Child Psychology and Psychiatry,"48(7), 687-694",Validation study / longitudinal-family-study analysis,"49 children with ADHD and Full Scale IQ >=120 compared with 92 high-IQ children without ADHD from the MGH Longitudinal Family Studies; familiality, cognition, comorbidity, and functional impairment were examined.",10.1111/j.1469-7610.2007.01735.x,https://doi.org/10.1111/j.1469-7610.2007.01735.x,https://pubmed.ncbi.nlm.nih.gov/17593149/,No public PDF verified,LINK ONLY,ADHD; high IQ; giftedness; diagnosis validity; children; familiality; functional impairment,20-007_Antshel_2007_High_IQ_ADHD_Validity.pdf
20-008,20. ADHD & Intelligence / IQ Corollaries,Candidate for Pass 1,PASS 1,High-IQ ADHD / population cohort,Maja Z. Katusic; Robert G. Voigt; Robert C. Colligan; Amy L. Weaver; Kendra J. Homan; William J. Barbaresi,2011,Attention-deficit hyperactivity disorder in children with high intelligence quotient: results from a population-based study,Journal of Developmental & Behavioral Pediatrics,"32(2), 103-109",Population-based birth-cohort follow-up study,"Research-identified ADHD cases from a population birth cohort were categorized by IQ: high IQ >=120, normal IQ 80-119, and low IQ <80; comorbidities, treatment, and school outcomes were compared longitudinally.",10.1097/DBP.0b013e318206d700,https://doi.org/10.1097/DBP.0b013e318206d700,https://pmc.ncbi.nlm.nih.gov/articles/PMC3095845/,Yes,LINK ONLY,ADHD; high IQ; giftedness; population cohort; children; school outcomes; longitudinal,20-008_Katusic_2011_High_IQ_ADHD_Population_Cohort.pdf
20-009,20. ADHD & Intelligence / IQ Corollaries,Candidate for Pass 1,PASS 1,High intelligence and ADHD cognitive profile,María Cadenas; Catharina Hartman; Stephen Faraone; Kevin Antshel; África Borges; Lianne Hoogeveen; Nanda Rommelse,2020,Cognitive correlates of attention-deficit hyperactivity disorder in children and adolescents with high intellectual ability,Journal of Neurodevelopmental Disorders,"12(1), 6",Multicenter matched-cohort cognitive study,"Two independent cohorts compared high-IQ ADHD, high-IQ controls, average-IQ ADHD, and average-IQ controls. Samples were drawn from NeuroIMAGE and TRAILS and matched on age, gender, ADHD severity, and IQ.",10.1186/s11689-020-9307-8,https://doi.org/10.1186/s11689-020-9307-8,https://pmc.ncbi.nlm.nih.gov/articles/PMC7008522/,Yes,LINK ONLY,ADHD; giftedness; high intelligence; cognition; twice exceptional; children; adolescents; NeuroIMAGE; TRAILS,20-009_Cadenas_2020_High_Intelligence_ADHD_Cognitive_Correlates.pdf
20-010,20. ADHD & Intelligence / IQ Corollaries,Candidate for Pass 1,PASS 1,Intellectual giftedness / high-IQ ADHD synthesis,Inès Despature; Adrián Galiana,2023,Clinical and Cognitive Features of Attention Deficit Hyperactivity Disorder with Intellectual Giftedness: A Systematic Review,Developmental Neuropsychology,"48(7), 347-360",Systematic review,"Systematic review of studies from the preceding 15 years examining ADHD in intellectually gifted or high-IQ populations, including clinical features, cognitive presentation, treatment response, comorbidity, prognosis, and possible diagnostic masking.",10.1080/87565641.2023.2279117,https://doi.org/10.1080/87565641.2023.2279117,https://pubmed.ncbi.nlm.nih.gov/37929569/,No public PDF verified,LINK ONLY,ADHD; giftedness; high IQ; intellectual ability; twice exceptional; systematic review; diagnostic masking,20-010_Despature_2023_ADHD_Intellectual_Giftedness_Review.pdf
20-011,20. ADHD & Intelligence / IQ Corollaries,Candidate for Pass 1,PASS 1,High IQ as compensation / diagnostic masking,Ana Luiza Vidal Milioni; Tiffany Moukbel Chaim; Mikael Cavallet; Nathalya Moleda de Oliveira; Marco Annes; Bernardo Dos Santos; Mario Louzã; Maria Aparecida da Silva; Carmen Silvia Miguel; Mauricio Henriques Serpa; Marcus V. Zanetti; Geraldo Busatto; Paulo Jannuzzi Cunha,2017,"High IQ May ""Mask"" the Diagnosis of ADHD by Compensating for Deficits in Executive Functions in Treatment-Naïve Adults With ADHD",Journal of Attention Disorders,"21(6), 455-464",Case-control neuropsychological study,51 treatment-naive adults with clinically diagnosed ADHD were divided by intellectual level (IQ >=110 versus <110) and compared with 33 healthy controls on a broad executive-function battery.,10.1177/1087054714554933,https://doi.org/10.1177/1087054714554933,https://pubmed.ncbi.nlm.nih.gov/25359760/,No public PDF verified,LINK ONLY,ADHD; high IQ; executive function; diagnostic masking; compensation; adults; treatment-naive,20-011_Milioni_2017_High_IQ_Masks_ADHD.pdf
20-012,20. ADHD & Intelligence / IQ Corollaries,Candidate for Pass 1,PASS 1,IQ and age of ADHD diagnosis,Carolynn Hare; Alexandra C. Leslie; Lindsay P. Bodell; Erin A. Kaufman; J. Bruce Morton; Robert Nicolson; Elizabeth Kelley; Jessica Jones; Muhammed Ayub; Jennifer Crosbie; Russell Schachar; Evdokia Anagnostou; Magali Segers; Ryan A. Stevenson,2024,Sex and intelligence quotient differences in age of diagnosis among youth with attention-deficit hyperactivity disorder,British Journal of Clinical Psychology,"63(4), 627-645",Cross-sectional analysis of a neurodevelopmental clinical cohort,568 youth with ADHD from the Ontario POND Network with cognitive testing and diagnostic-history data; examined whether IQ and sex were associated with age at ADHD diagnosis.,10.1111/bjc.12485,https://doi.org/10.1111/bjc.12485,https://pubmed.ncbi.nlm.nih.gov/38923582/,No public PDF verified,LINK ONLY,ADHD; IQ; age of diagnosis; diagnostic delay; high intelligence; sex differences; youth,20-012_Hare_2024_IQ_Age_ADHD_Diagnosis.pdf
20-013,20. ADHD & Intelligence / IQ Corollaries,Candidate for Pass 1,PASS 1,Wechsler cognitive profile / intelligence-test structure,Alexander C. Wilson,2024,Cognitive Profile in Autism and ADHD: A Meta-Analysis of Performance on the WAIS-IV and WISC-V,Archives of Clinical Neuropsychology,"39(4), 498-515",Systematic review and meta-analysis,"18 data sources reporting WAIS-IV or WISC-V performance in more than 1,800 neurodivergent participants; ADHD and autism cognitive profiles were meta-analyzed separately.",10.1093/arclin/acad073,https://doi.org/10.1093/arclin/acad073,https://pmc.ncbi.nlm.nih.gov/articles/PMC11110614/,Yes,LINK ONLY,ADHD; intelligence; WAIS-IV; WISC-V; cognitive profile; working memory; processing speed; meta-analysis,20-013_Wilson_2024_ADHD_WAIS_WISC_Cognitive_Profile_Meta_Analysis.pdf
