ID,Section,Resource Type,Author / Speaker,Title,Publication / Platform,Date,URL,Why It Matters,Scaffold Relevance,Audience,Access Notes,Status
21-04,21. ADHD Evolutionary Proposals,Science Podcast / Research Report,Cynthia Graber,ADHD Genetics Sometimes Beneficial,Scientific American,2008-06-13,https://www.scientificamerican.com/podcast/episode/800f0fcd-f580-32f3-65a672bf6c41085d/,"Summarizes the influential Ariaal study in Kenya, where a dopamine-receptor variant associated with ADHD-related traits showed different relationships with nutritional status in nomadic and settled groups.",Illustrates context dependence: the same biological variation may interact differently with different environments. This supports looking at person-environment fit when building routines and supports rather than assuming a trait is uniformly advantageous or disadvantageous.,"Adults with ADHD, students, educators, readers interested in genetics and evolution","Free short podcast transcript. This is evidence about one DRD4 variant in a specific population, not proof of an ADHD gene or proof that ADHD is an evolutionary adaptation. ADHD is highly polygenic and heterogeneous.",Verified
21-05,21. ADHD Evolutionary Proposals,Historical Concept Essay,Thom Hartmann,Hunters in Our Schools and Offices: The Origin of ADHD,ThomHartmann.com,1994-01-01,https://www.thomhartmann.com/articles/1994/01/hunters-our-schools-and-offices-origin-adhd,A primary historical source for the popular hunter-versus-farmer framing that influenced later public discussion of ADHD as a possible context-dependent cognitive style rather than a simple deficit.,"The metaphor can prompt useful questions about matching tasks and environments to strengths such as scanning, rapid response, novelty, and intense interest, while deliberately building scaffolds for planning, routine, and sustained administrative work.","Adults with ADHD, educators, clinicians, readers interested in the history of ADHD ideas","Free historical essay. Treat as the origin of a popular hypothesis, not scientific confirmation. Several factual and genetic claims in the 1994 text are outdated, oversimplified, or unsupported by current evidence.",Verified
22-01,"22. ADHD in Military Culture, Active Duty & Veteran Populations",First-Person Professional Essay,Staff Sgt. Jarred Woods,Serving with ADHD,"Army University Press, NCO Journal",2022-02-07,https://www.armyupress.army.mil/Journals/NCO-Journal/Archives/2022/February/Serving-with-ADHD/,"A serving Soldier with ADHD translates organization, task initiation, attention, frustration, and impulsivity into recognizable military situations while directly challenging the idea that these difficulties are laziness or lack of effort.","Shows practical external supports inside military culture, including written priority lists, leader reminders, individualized mentoring, and emotionally intelligent supervision. It also illustrates how military structure itself can function as an executive-function scaffold.","Active-duty service members, NCOs, military leaders, veterans, families","Free Army professional publication. The essay reflects the author's experience and should not be generalized to every service member with ADHD. Claims about strengths such as hyperfocus or resilience are possible individual patterns, not universal ADHD traits. Some accession-policy details are now historical.",Verified
22-02,"22. ADHD in Military Culture, Active Duty & Veteran Populations",Investigative Journalism,Jennifer Barnhill,The Military Is Missing Recruitment Goals. Are Thousands Being Unnecessarily Disqualified?,The War Horse,2023-08-03,https://thewarhorse.org/us-military-recruitment-crisis-may-hinge-on-medical-waivers/,"Investigates how ADHD and other neurodevelopmental or mental-health histories interact with military accession standards, medical waivers, branch variability, and the lived frustration of otherwise capable applicants.","Highlights administrative scaffolds that matter before service: accurate records, transparent waiver guidance, knowledgeable recruiters, and current policy information. It also reinforces that applicants should not hide diagnoses simply to avoid a difficult process.","Prospective recruits with ADHD, military families, recruiters, policy readers, clinicians","Free nonprofit military journalism. Originally published August 3, 2023 and later updated on the site. Accession rules and pilot programs continue to change, so readers should verify current DoD and service-specific standards rather than relying on historical eligibility details alone.",Verified
22-03,"22. ADHD in Military Culture, Active Duty & Veteran Populations",Professional Society Public Essay,Grace Winder,Accounting for ADHD in Military-to-Civilian Transitions and Support Structures,Society for Industrial and Organizational Psychology,2025-11-04,https://www.siop.org/post/accounting-for-adhd-in-military-to-civilian-transitions-and-support-structures/,"Focuses on the difficult shift from a highly structured military environment to civilian work and education, where loss of routine, mission clarity, identity, and built-in accountability may make executive-function problems more visible.","Directly supports rebuilding structure after discharge through defined routines, step-by-step vocational guidance, coaching, employment supports, continued clinical care, clear goals, and deliberate use of education and veteran resources.","Veterans, transitioning service members, employers, career counselors, clinicians","Free professional-society article drawing on military ADHD research. Several outcome claims arise from observational literature, so they should be read as associations and risk patterns rather than proof that ADHD causes any particular transition outcome.",Verified
22-04,"22. ADHD in Military Culture, Active Duty & Veteran Populations",Podcast Interview / Lived Experience,Rae Jacobson; Brandon Saiz,"Suicidal ideation, masking, and overlooked ADHD: A Coast Guard veteran’s story","Understood, Hyperfocus with Rae Jacobson",2025-10-09,https://www.understood.org/en/podcasts/hyperfocus/brandon-saiz-inattentive-adhd,"A 20-year Coast Guard veteran describes late diagnosis, inattentive ADHD, masking, shame, performance problems, and how ADHD-related difficulties could be interpreted within military culture as poor bearing, avoidance, or rule-breaking.","Shows why self-created survival strategies, supportive leadership, therapy, clearer self-understanding, and reduced shame can matter. It is especially useful for recognizing impairment that may remain hidden behind compliance, intelligence, or a long service record.","Veterans, active-duty personnel, late-diagnosed adults, clinicians, families",Free podcast and transcript. Includes discussion of suicidal ideation. This is a first-person account and is illustrative rather than universal. Inclusion is warranted for its unusually specific veteran perspective despite Understood being an institutional ADHD platform.,Verified
22-05,"22. ADHD in Military Culture, Active Duty & Veteran Populations",Research News / Public Explainer,"Wolters Kluwer Health; reporting research by Andrew C. Hale, PhD, and colleagues","Rates of ADHD diagnosis in veterans are rising, reports VA study in Medical Care",Wolters Kluwer,2020-04-27,https://www.wolterskluwer.com/en/news/rates-of-adhd-diagnosis-in-veterans-are-rising-reports-va-study-in-medical-care,Summarizes national VA data showing a substantial rise in recorded ADHD diagnoses and emphasizes the diagnostic complexity created by common overlapping conditions such as PTSD and traumatic brain injury.,"Supports careful assessment before treating post-service concentration problems as ADHD alone. Useful scaffolds include reconstructing childhood history and symptom timelines, screening for trauma and other contributors, and pairing diagnosis with ongoing functional supports rather than relying on a screening score by itself.","Veterans, families, clinicians, general readers",Free research-news summary of a peer-reviewed VA study. The reported prevalence and incidence figures cover veterans using VA primary-care or mental-health services from 2009 through 2016 and should not be generalized to all veterans. Rising diagnosis rates do not show that military service causes ADHD.,Verified
23-01,23. ADHD & Suicidality,Medically Reviewed Explainer,"Jill Seladi-Schulman, PhD; medically reviewed by Nicole Washington, DO, MPH",What to Know About the Link Between ADHD and Suicide,Healthline,2025-04-30,https://www.healthline.com/health/adhd-suicide,"Provides an accessible overview of the association between ADHD and suicidal thoughts or behavior while emphasizing that risk is shaped by multiple factors, including depression, anxiety, substance use, life stress, and functional impairment.","Supports practical prevention scaffolds such as active ADHD treatment, screening for co-occurring conditions, maintaining a reachable support network, recognizing warning signs, reducing access to lethal means during crisis, and having clear routes to urgent help.","Adults and teens with ADHD, families, caregivers, general readers","Free medically reviewed article with research links and crisis guidance. Population-level associations do not predict an individual person's suicide risk, and ADHD should not be treated as a single direct cause of suicidal behavior.",Verified
23-02,23. ADHD & Suicidality,First-Person / Lived-Experience Essay,Kayleigh Roberts,Why Women With ADHD Like Me Get Diagnosed So Late in Adulthood,Allure,2018-10-25,https://www.allure.com/story/adhd-diagnosis-women-anxiety-depression,"A first-person account of reaching a crisis with depression and suicidal thoughts before an ADHD diagnosis at age 30 helped the author reinterpret longstanding anxiety, executive-function problems, and self-blame.","Illustrates the value of telling clinicians the full severity of distress, reassessing an incomplete formulation when treatment is not working, and building supports around deadlines, work demands, anxiety, and executive dysfunction rather than relying on shame or effort alone.","Adult women, late-diagnosed adults, clinicians, general readers",Free magazine article. Contains discussion of suicidal ideation. This is one person's experience and does not establish that undiagnosed ADHD caused her depression or suicidal thoughts.,Verified
23-03,23. ADHD & Suicidality,Reported Feature with Lived Experience,Sarah Boseley,'When I started taking ADHD medication it was as if someone flicked a switch',The Guardian,2018-08-03,https://www.theguardian.com/society/2018/aug/03/taking-adhd-medication-diagnosis-someone-flicked-switch,"Profiles a teenager whose academic decline, anxiety, low mood, emotional dysregulation, and suicide attempt preceded recognition of a less stereotypical ADHD presentation.","Shows why suicide prevention can require looking beyond depression alone when functional problems persist. Useful scaffolds include comprehensive assessment, school support, treatment of co-occurring mood symptoms, family involvement, and monitoring how the young person is functioning across settings.","Teens with ADHD, parents, educators, clinicians, general readers","Free Guardian feature and personal account. Medication was described as transformative for this individual, but a single story cannot establish treatment effects or show that ADHD was the sole explanation for his suicidality.",Verified
23-04,23. ADHD & Suicidality,Expert-Written Public Essay,"Eugene Rubin, MD, PhD; Charles Zorumski, MD",Preventing Suicidal Behavior in ADHD,Psychology Today,2020-04-07,https://www.psychologytoday.com/us/blog/demystifying-psychiatry/202004/preventing-suicidal-behavior-in-adhd,"Translates a very large observational study examining ADHD medication use and suicide attempts, addressing the common concern that prescribed stimulants should be assumed to increase suicide risk.","Supports medication review as one component of a broader safety plan and reinforces the distinction between prescribed therapeutic stimulant treatment and stimulant misuse. Ongoing monitoring remains important, especially when depression, substance use, agitation, or acute crisis is present.","Adults with ADHD, parents, clinicians, general readers",Free expert-authored article. The reported lower rate of suicide attempts during medicated periods is an observational association and does not prove that stimulant medication itself caused the reduction.,Verified
23-05,23. ADHD & Suicidality,Investigative / Reported Feature,Rachel Hall and Sarah Marsh,‘He tried so hard to get help’: the tragic results of NHS right-to-choose for ADHD patients,The Guardian,2026-01-13,https://www.theguardian.com/society/2026/jan/13/brother-tried-hard-get-help-tragic-results-nhs-right-to-choose-for-adhd-patients,"Uses the death of Ryan White and other patient experiences to examine how fragmented assessment, prescribing, primary care, and mental-health systems can leave vulnerable people without clear responsibility for follow-up.","Highlights continuity of care as a safety scaffold: named clinical responsibility, follow-up on referrals, communication between providers, assessment of co-occurring conditions, medication monitoring, stable contact routes, and rapid escalation when distress or life instability increases.","Adults seeking ADHD care, families, clinicians, health-system readers","Free Guardian investigation. Contains suicide and bereavement material. Ryan also experienced grief, housing instability, prior bipolar treatment, and other stressors, so his death must not be reduced to ADHD or to a single failure in care.",Verified
